rank,band,headword,family_size,word_family
606,B1 (1-1000),voice,4,voices | voiced | voicing
607,B1 (1-1000),piece,4,pieces | pieced | piecing
608,B1 (1-1000),finish,4,finishes | finished | finishing
609,B1 (1-1000),suppose,4,supposes | supposed | supposing
610,B1 (1-1000),apply,4,applies | applied | applying
611,B1 (1-1000),president,2,presidents
612,B1 (1-1000),fire,5,fires | fired | firing | firings
613,B1 (1-1000),compare,4,compares | compared | comparing
614,B1 (1-1000),court,4,courts | courted | courting
615,B1 (1-1000),police,4,polices | policed | policing
616,B1 (1-1000),store,4,stores | stored | storing
617,B1 (1-1000),poor,3,poorer | poorest
618,B1 (1-1000),knowledge,1,
619,B1 (1-1000),laugh,4,laughs | laughed | laughing
620,B1 (1-1000),arm,4,arms | armed | arming
621,B1 (1-1000),heart,3,hearts | hearted
622,B1 (1-1000),source,4,sources | sourced | sourcing
623,B1 (1-1000),employee,2,employees
624,B1 (1-1000),manage,4,manages | managed | managing
625,B1 (1-1000),simply,1,
626,B1 (1-1000),bank,4,banks | banked | banking
627,B1 (1-1000),firm,6,firms | firmed | firming | firmer | firmest
628,B1 (1-1000),cell,3,cells | celled
629,B1 (1-1000),article,4,articles | articled | articling
630,B1 (1-1000),fast,6,fasts | fasted | fasting | faster | fastest
631,B1 (1-1000),attack,4,attacks | attacked | attacking
632,B1 (1-1000),foreign,1,
633,B1 (1-1000),surprise,4,surprises | surprised | surprising
634,B1 (1-1000),feature,4,features | featured | featuring
635,B1 (1-1000),factor,5,factors | factored | factoring | factorings
636,B1 (1-1000),pretty,5,pretties | prettying | prettier | prettiest
637,B1 (1-1000),recently,1,
638,B1 (1-1000),affect,4,affects | affected | affecting
639,B1 (1-1000),drop,4,drops | dropped | dropping
640,B1 (1-1000),recent,1,
641,B1 (1-1000),relate,4,relates | related | relating
642,B1 (1-1000),official,2,officials
643,B1 (1-1000),financial,2,financials
644,B1 (1-1000),miss,4,misses | missed | missing
645,B1 (1-1000),art,2,arts
646,B1 (1-1000),campaign,4,campaigns | campaigned | campaigning
647,B1 (1-1000),private,1,
648,B1 (1-1000),pause,4,pauses | paused | pausing
649,B1 (1-1000),everyone,1,
650,B1 (1-1000),forget,5,forgets | forgot | forgetting | forgotten
651,B1 (1-1000),page,4,pages | paged | paging
652,B1 (1-1000),worry,4,worries | worried | worrying
653,B1 (1-1000),summer,3,summers | summered
654,B1 (1-1000),drink,4,drinks | drank | drinking
655,B1 (1-1000),opinion,3,opinions | opinioned
656,B1 (1-1000),park,4,parks | parked | parking
657,B1 (1-1000),represent,4,represents | represented | representing
658,B1 (1-1000),key,4,keys | keyed | keying
659,B1 (1-1000),inside,2,insides
660,B1 (1-1000),manager,2,managers
661,B1 (1-1000),international,2,internationals
662,B1 (1-1000),contain,4,contains | contained | containing
663,B1 (1-1000),notice,4,notices | noticed | noticing
664,B1 (1-1000),wonder,5,wonders | wondered | wondering | wonderings
665,B1 (1-1000),nature,3,natures | natured
666,B1 (1-1000),structure,4,structures | structured | structuring
667,B1 (1-1000),section,4,sections | sectioned | sectioning
668,B1 (1-1000),myself,1,
669,B1 (1-1000),exactly,1,
670,B1 (1-1000),plant,5,plants | planted | planting | plantings
671,B1 (1-1000),paint,5,paints | painted | painting | paintings
672,B1 (1-1000),worker,2,workers
673,B1 (1-1000),press,5,presses | pressed | pressing | pressings
674,B1 (1-1000),whatever,1,
675,B1 (1-1000),necessary,2,necessaries
676,B1 (1-1000),region,2,regions
677,B1 (1-1000),growth,2,growths
678,B1 (1-1000),evening,2,evenings
679,B1 (1-1000),influence,4,influences | influenced | influencing
680,B1 (1-1000),respect,4,respects | respected | respecting
681,B1 (1-1000),various,1,
682,B1 (1-1000),catch,4,catches | caught | catching
683,B1 (1-1000),thus,1,
684,B1 (1-1000),skill,3,skills | skilled
685,B1 (1-1000),attempt,4,attempts | attempted | attempting
686,B1 (1-1000),son,2,sons
687,B1 (1-1000),simple,3,simpler | simplest
688,B1 (1-1000),medium,2,mediums
689,B1 (1-1000),average,4,averages | averaged | averaging
690,B1 (1-1000),stock,4,stocks | stocked | stocking
691,B1 (1-1000),management,2,managements
692,B1 (1-1000),character,2,characters
693,B1 (1-1000),bed,5,beds | bedded | bedding | beddings
694,B1 (1-1000),hit,3,hits | hitting
695,B1 (1-1000),establish,4,establishes | established | establishing
696,B1 (1-1000),indeed,1,
697,B1 (1-1000),final,2,finals
698,B1 (1-1000),economy,2,economies
699,B1 (1-1000),fit,7,fits | fitted | fitting | fitter | fittest | fittings
700,B1 (1-1000),guy,4,guys | guyed | guying
701,B1 (1-1000),function,4,functions | functioned | functioning
702,B1 (1-1000),yesterday,2,yesterdays
703,B1 (1-1000),image,4,images | imaged | imaging
704,B1 (1-1000),size,4,sizes | sized | sizing
705,B1 (1-1000),behavior,4,behaviors | behaviour | behaviours
706,B1 (1-1000),addition,2,additions
707,B1 (1-1000),determine,4,determines | determined | determining
708,B1 (1-1000),station,4,stations | stationed | stationing
709,B1 (1-1000),population,2,populations
710,B1 (1-1000),fail,5,fails | failed | failing | failings
711,B1 (1-1000),environment,2,environments
712,B1 (1-1000),production,2,productions
713,B1 (1-1000),contract,4,contracts | contracted | contracting
714,B1 (1-1000),player,2,players
715,B1 (1-1000),comment,4,comments | commented | commenting
716,B1 (1-1000),enter,4,enters | entered | entering
717,B1 (1-1000),occur,4,occurs | occurred | occurring
718,B1 (1-1000),alone,1,
719,B1 (1-1000),significant,1,
720,B1 (1-1000),drug,4,drugs | drugged | drugging
721,B1 (1-1000),wall,4,walls | walled | walling
722,B1 (1-1000),series,1,
723,B1 (1-1000),direct,4,directs | directed | directing
724,B1 (1-1000),success,2,successes
725,B1 (1-1000),tomorrow,2,tomorrows
726,B1 (1-1000),director,2,directors
727,B1 (1-1000),clearly,1,
728,B1 (1-1000),lack,4,lacks | lacked | lacking
729,B1 (1-1000),review,4,reviews | reviewed | reviewing
730,B1 (1-1000),depend,4,depends | depended | depending
731,B1 (1-1000),race,4,races | raced | racing
732,B1 (1-1000),recognize,8,recognizes | recognized | recognizing | recognise | recognises | recognised | recognising
733,B1 (1-1000),window,4,windows | windowed | windowing
734,B1 (1-1000),purpose,4,purposes | purposed | purposing
735,B1 (1-1000),department,2,departments
736,B1 (1-1000),gain,4,gains | gained | gaining
737,B1 (1-1000),tree,2,trees
738,B1 (1-1000),college,2,colleges
739,B1 (1-1000),argue,4,argues | argued | arguing
740,B1 (1-1000),board,4,boards | boarded | boarding
741,B1 (1-1000),holiday,4,holidays | holidayed | holidaying
742,B1 (1-1000),mark,5,marks | marked | marking | markings
743,B1 (1-1000),church,4,churches | churched | churching
744,B1 (1-1000),machine,4,machines | machined | machining
745,B1 (1-1000),achieve,4,achieves | achieved | achieving
746,B1 (1-1000),item,2,items
747,B1 (1-1000),prove,5,proves | proved | proving | proven
748,B1 (1-1000),cent,2,cents
749,B1 (1-1000),season,5,seasons | seasoned | seasoning | seasonings
750,B1 (1-1000),floor,5,floors | floored | flooring | floorings
751,B1 (1-1000),stuff,4,stuffs | stuffed | stuffing
752,B1 (1-1000),wide,3,wider | widest
753,B1 (1-1000),anyone,1,
754,B1 (1-1000),method,2,methods
755,B1 (1-1000),analysis,2,analyses
756,B1 (1-1000),election,2,elections
757,B1 (1-1000),military,2,militaries
758,B1 (1-1000),hotel,2,hotels
759,B1 (1-1000),club,4,clubs | clubbed | clubbing
760,B1 (1-1000),below,1,
761,B1 (1-1000),movie,2,movies
762,B1 (1-1000),doctor,4,doctors | doctored | doctoring
763,B1 (1-1000),discussion,2,discussions
764,B1 (1-1000),sorry,3,sorrier | sorriest
765,B1 (1-1000),challenge,4,challenges | challenged | challenging
766,B1 (1-1000),nation,2,nations
767,B1 (1-1000),nearly,1,
768,B1 (1-1000),statement,2,statements
769,B1 (1-1000),link,4,links | linked | linking
770,B1 (1-1000),despite,1,
771,B1 (1-1000),introduce,4,introduces | introduced | introducing
772,B1 (1-1000),advantage,3,advantages | advantaged
773,B1 (1-1000),ready,6,readies | readied | readying | readier | readiest
774,B1 (1-1000),marry,4,marries | married | marrying
775,B1 (1-1000),strike,4,strikes | struck | striking
776,B1 (1-1000),mile,2,miles
777,B1 (1-1000),seek,4,seeks | sought | seeking
778,B1 (1-1000),ability,2,abilities
779,B1 (1-1000),unit,2,units
780,B1 (1-1000),card,4,cards | carded | carding
781,B1 (1-1000),hospital,2,hospitals
782,B1 (1-1000),quickly,1,
783,B1 (1-1000),interview,4,interviews | interviewed | interviewing
784,B1 (1-1000),agreement,2,agreements
785,B1 (1-1000),release,4,releases | released | releasing
786,B1 (1-1000),tax,4,taxes | taxed | taxing
787,B1 (1-1000),solution,2,solutions
788,B1 (1-1000),capital,2,capitals
789,B1 (1-1000),popular,1,
790,B1 (1-1000),specific,2,specifics
791,B1 (1-1000),beautiful,1,
792,B1 (1-1000),fear,4,fears | feared | fearing
793,B1 (1-1000),aim,4,aims | aimed | aiming
794,B1 (1-1000),television,2,televisions
795,B1 (1-1000),serious,1,
796,B1 (1-1000),target,4,targets | targeted | targeting
797,B1 (1-1000),degree,2,degrees
798,B1 (1-1000),pull,4,pulls | pulled | pulling
799,B1 (1-1000),red,4,reds | redder | reddest
800,B1 (1-1000),husband,4,husbands | husbanded | husbanding
801,B1 (1-1000),access,4,accesses | accessed | accessing
802,B1 (1-1000),movement,2,movements
803,B1 (1-1000),treat,4,treats | treated | treating
804,B1 (1-1000),identify,4,identifies | identified | identifying
805,B1 (1-1000),loss,2,losses
806,B1 (1-1000),shall,1,
807,B1 (1-1000),modern,2,moderns
808,B1 (1-1000),pressure,4,pressures | pressured | pressuring
809,B1 (1-1000),bus,4,buses | bused | busing
810,B1 (1-1000),treatment,2,treatments
811,B1 (1-1000),yourself,2,yourselves
812,B1 (1-1000),supply,4,supplies | supplied | supplying
813,B1 (1-1000),village,2,villages
814,B1 (1-1000),worth,1,
815,B1 (1-1000),natural,2,naturals
816,B1 (1-1000),express,4,expresses | expressed | expressing
817,B1 (1-1000),indicate,4,indicates | indicated | indicating
818,B1 (1-1000),attend,4,attends | attended | attending
819,B1 (1-1000),brother,2,brothers
820,B1 (1-1000),investment,2,investments
821,B1 (1-1000),score,5,scores | scored | scoring | scorings
822,B1 (1-1000),organize,8,organizes | organized | organizing | organise | organises | organised | organising
823,B1 (1-1000),trip,4,trips | tripped | tripping
824,B1 (1-1000),beyond,1,
825,B1 (1-1000),sleep,4,sleeps | slept | sleeping
826,B1 (1-1000),fish,4,fishes | fished | fishing
827,B1 (1-1000),promise,4,promises | promised | promising
828,B1 (1-1000),potential,2,potentials
829,B1 (1-1000),energy,2,energies
830,B1 (1-1000),trouble,4,troubles | troubled | troubling
831,B1 (1-1000),relation,2,relations
832,B1 (1-1000),touch,4,touches | touched | touching
833,B1 (1-1000),file,5,files | filed | filing | filings
834,B1 (1-1000),middle,4,middles | middled | middling
835,B1 (1-1000),bar,4,bars | barred | barring
836,B1 (1-1000),suffer,6,suffers | suffered | suffering | sufferred | sufferring
837,B1 (1-1000),strategy,2,strategies
838,B1 (1-1000),deep,4,deeper | deepest | deeps
839,B1 (1-1000),except,4,excepts | excepted | excepting
840,B1 (1-1000),clean,5,cleans | cleaned | cleaning | cleanings
841,B1 (1-1000),tend,4,tends | tended | tending
842,B1 (1-1000),advance,4,advances | advanced | advancing
843,B1 (1-1000),fill,5,fills | filled | filling | fillings
844,B1 (1-1000),star,4,stars | starred | starring
845,B1 (1-1000),network,4,networks | networked | networking
846,B1 (1-1000),generally,1,
847,B1 (1-1000),operation,2,operations
848,B1 (1-1000),match,4,matches | matched | matching
849,B1 (1-1000),avoid,4,avoids | avoided | avoiding
850,B1 (1-1000),seat,4,seats | seated | seating
851,B1 (1-1000),throw,5,throws | threw | throwing | thrown
852,B1 (1-1000),task,4,tasks | tasked | tasking
853,B1 (1-1000),normal,2,normals
854,B1 (1-1000),goal,2,goals
855,B1 (1-1000),associate,4,associates | associated | associating
856,B1 (1-1000),blue,6,blues | blued | bluing | bluer | bluest
857,B1 (1-1000),positive,2,positives
858,B1 (1-1000),option,2,options
859,B1 (1-1000),box,4,boxes | boxed | boxing
860,B1 (1-1000),huge,3,huger | hugest
861,B1 (1-1000),message,4,messages | messaged | messaging
862,B1 (1-1000),instance,4,instances | instanced | instancing
863,B1 (1-1000),style,4,styles | styled | styling
864,B1 (1-1000),refer,6,refers | referred | referring | refered | refering
865,B1 (1-1000),cold,4,colder | coldest | colds
866,B1 (1-1000),push,4,pushes | pushed | pushing
867,B1 (1-1000),quarter,4,quarters | quartered | quartering
868,B1 (1-1000),assume,4,assumes | assumed | assuming
869,B1 (1-1000),baby,4,babies | babied | babying
870,B1 (1-1000),successful,1,
871,B1 (1-1000),sing,5,sings | sang | singing | sung
872,B1 (1-1000),doubt,4,doubts | doubted | doubting
873,B1 (1-1000),competition,2,competitions
874,B1 (1-1000),theory,2,theories
875,B1 (1-1000),propose,4,proposes | proposed | proposing
876,B1 (1-1000),reference,4,references | referenced | referencing
877,B1 (1-1000),argument,2,arguments
878,B1 (1-1000),adult,2,adults
879,B1 (1-1000),fly,5,flies | flew | flying | flown
880,B1 (1-1000),document,4,documents | documented | documenting
881,B1 (1-1000),pattern,4,patterns | patterned | patterning
882,B1 (1-1000),application,2,applications
883,B1 (1-1000),hot,4,hots | hotter | hottest
884,B1 (1-1000),obviously,1,
885,B1 (1-1000),unclear,1,
886,B1 (1-1000),bill,4,bills | billed | billing
887,B1 (1-1000),search,4,searches | searched | searching
888,B1 (1-1000),separate,4,separates | separated | separating
889,B1 (1-1000),central,2,centrals
890,B1 (1-1000),career,4,careers | careered | careering
891,B1 (1-1000),anyway,2,anyways
892,B1 (1-1000),speech,2,speeches
893,B1 (1-1000),dog,4,dogs | dogged | dogging
894,B1 (1-1000),officer,4,officers | officered | officering
895,B1 (1-1000),throughout,1,
896,B1 (1-1000),oil,4,oils | oiled | oiling
897,B1 (1-1000),dress,4,dresses | dressed | dressing
898,B1 (1-1000),profit,4,profits | profited | profiting
899,B1 (1-1000),guess,4,guesses | guessed | guessing
900,B1 (1-1000),fun,1,
901,B1 (1-1000),protect,4,protects | protected | protecting
902,B1 (1-1000),resource,4,resources | resourced | resourcing
903,B1 (1-1000),science,2,sciences
904,B1 (1-1000),disease,3,diseases | diseased
905,B1 (1-1000),balance,4,balances | balanced | balancing
906,B1 (1-1000),damage,4,damages | damaged | damaging
907,B1 (1-1000),basis,1,
908,B1 (1-1000),author,4,authors | authored | authoring
909,B1 (1-1000),basic,2,basics
910,B1 (1-1000),encourage,4,encourages | encouraged | encouraging
911,B1 (1-1000),hair,3,hairs | haired
912,B1 (1-1000),male,2,males
913,B1 (1-1000),operate,4,operates | operated | operating
914,B1 (1-1000),reflect,4,reflects | reflected | reflecting
915,B1 (1-1000),exercise,4,exercises | exercised | exercising
916,B1 (1-1000),useful,1,
917,B1 (1-1000),restaurant,2,restaurants
918,B1 (1-1000),income,2,incomes
919,B1 (1-1000),property,2,properties
920,B1 (1-1000),previous,1,
921,B1 (1-1000),dark,3,darker | darkest
922,B1 (1-1000),imagine,5,imagines | imagined | imagining | imaginings
923,B1 (1-1000),okay,5,okays | okayed | okaying | ok
924,B1 (1-1000),earn,5,earns | earned | earning | earnings
925,B1 (1-1000),daughter,2,daughters
926,B1 (1-1000),post,5,posts | posted | posting | postings
927,B1 (1-1000),newspaper,2,newspapers
928,B1 (1-1000),define,4,defines | defined | defining
929,B1 (1-1000),conclusion,2,conclusions
930,B1 (1-1000),clock,4,clocks | clocked | clocking
931,B1 (1-1000),everybody,1,
932,B1 (1-1000),weekend,3,weekends | weekending
933,B1 (1-1000),perform,4,performs | performed | performing
934,B1 (1-1000),professional,2,professionals
935,B1 (1-1000),mine,4,mines | mined | mining
936,B1 (1-1000),debate,4,debates | debated | debating
937,B1 (1-1000),memory,2,memories
938,B1 (1-1000),green,6,greens | greened | greening | greener | greenest
939,B1 (1-1000),song,2,songs
940,B1 (1-1000),object,4,objects | objected | objecting
941,B1 (1-1000),maintain,4,maintains | maintained | maintaining
942,B1 (1-1000),credit,4,credits | credited | crediting
943,B1 (1-1000),ring,6,rings | ringed | rang | ringing | rung
944,B1 (1-1000),discover,4,discovers | discovered | discovering
945,B1 (1-1000),dead,3,deader | deadest
946,B1 (1-1000),afternoon,2,afternoons
947,B1 (1-1000),prefer,6,prefers | preferred | preferring | prefered | prefering
948,B1 (1-1000),extend,4,extends | extended | extending
949,B1 (1-1000),possibility,2,possibilities
950,B1 (1-1000),direction,2,directions
951,B1 (1-1000),facility,2,facilities
952,B1 (1-1000),variety,2,varieties
953,B1 (1-1000),daily,2,dailies
954,B1 (1-1000),clothes,1,
955,B1 (1-1000),screen,5,screens | screened | screening | screenings
956,B1 (1-1000),track,4,tracks | tracked | tracking
957,B1 (1-1000),dance,4,dances | danced | dancing
958,B1 (1-1000),completely,1,
959,B1 (1-1000),female,2,females
960,B1 (1-1000),responsibility,2,responsibilities
961,B1 (1-1000),original,2,originals
962,B1 (1-1000),sister,2,sisters
963,B1 (1-1000),rock,4,rocks | rocked | rocking
964,B1 (1-1000),dream,5,dreams | dreamed | dreaming | dreamt
965,B1 (1-1000),nor,1,
966,B1 (1-1000),university,2,universities
967,B1 (1-1000),easily,1,
968,B1 (1-1000),agency,2,agencies
969,B1 (1-1000),dollar,2,dollars
970,B1 (1-1000),garden,4,gardens | gardened | gardening
971,B1 (1-1000),fix,5,fixes | fixed | fixing | fixings
972,B1 (1-1000),ahead,1,
973,B1 (1-1000),cross,5,crosses | crossed | crossing | crossings
974,B1 (1-1000),yeah,1,
975,B1 (1-1000),weight,5,weights | weighted | weighting | weightings
976,B1 (1-1000),legal,1,
977,B1 (1-1000),proposal,2,proposals
978,B1 (1-1000),version,3,versions | versioned
979,B1 (1-1000),conversation,2,conversations
980,B1 (1-1000),somebody,1,
981,B1 (1-1000),pound,5,pounds | pounded | pounding | poundings
982,B1 (1-1000),magazine,2,magazines
983,B1 (1-1000),shape,4,shapes | shaped | shaping
984,B1 (1-1000),sea,2,seas
985,B1 (1-1000),immediately,1,
986,B1 (1-1000),welcome,4,welcomes | welcomed | welcoming
987,B1 (1-1000),smile,4,smiles | smiled | smiling
988,B1 (1-1000),communication,2,communications
989,B1 (1-1000),agent,2,agents
990,B1 (1-1000),traditional,1,
991,B1 (1-1000),replace,4,replaces | replaced | replacing
992,B1 (1-1000),judge,4,judges | judged | judging
993,B1 (1-1000),herself,1,
994,B1 (1-1000),suddenly,1,
995,B1 (1-1000),generation,2,generations
996,B1 (1-1000),estimate,4,estimates | estimated | estimating
997,B1 (1-1000),favorite,4,favorites | favourite | favourites
998,B1 (1-1000),difficulty,2,difficulties
999,B1 (1-1000),purchase,4,purchases | purchased | purchasing
1000,B1 (1-1000),the,1,
1001,B2 (1001-2000),announce,4,announces | announced | announcing
1002,B2 (1001-2000),unless,1,
1003,B2 (1001-2000),independent,2,independents
1004,B2 (1001-2000),recommend,4,recommends | recommended | recommending
1005,B2 (1001-2000),survey,4,surveys | surveyed | surveying
1006,B2 (1001-2000),majority,2,majorities
1007,B2 (1001-2000),stick,4,sticks | stuck | sticking
1008,B2 (1001-2000),request,4,requests | requested | requesting
1009,B2 (1001-2000),rich,3,richer | richest
1010,B2 (1001-2000),wind,4,winds | winded | winding
1011,B2 (1001-2000),none,1,
1012,B2 (1001-2000),exchange,4,exchanges | exchanged | exchanging
1013,B2 (1001-2000),budget,4,budgets | budgeted | budgeting
1014,B2 (1001-2000),famous,1,
1015,B2 (1001-2000),blood,4,bloods | blooded | blooding
1016,B2 (1001-2000),appropriate,4,appropriates | appropriated | appropriating
1017,B2 (1001-2000),block,4,blocks | blocked | blocking
1018,B2 (1001-2000),warm,6,warms | warmed | warming | warmer | warmest
1019,B2 (1001-2000),count,4,counts | counted | counting
1020,B2 (1001-2000),scene,2,scenes
1021,B2 (1001-2000),writer,2,writers
1022,B2 (1001-2000),content,4,contents | contented | contenting
1023,B2 (1001-2000),prevent,4,prevents | prevented | preventing
1024,B2 (1001-2000),safe,3,safer | safest
1025,B2 (1001-2000),invite,4,invites | invited | inviting
1026,B2 (1001-2000),mix,4,mixes | mixed | mixing
1027,B2 (1001-2000),element,2,elements
1028,B2 (1001-2000),effective,1,
1029,B2 (1001-2000),correct,4,corrects | corrected | correcting
1030,B2 (1001-2000),medical,2,medicals
1031,B2 (1001-2000),admit,4,admits | admitting | admitted
1032,B2 (1001-2000),beat,5,beats | beating | beaten | beatings
1033,B2 (1001-2000),telephone,4,telephones | telephoned | telephoning
1034,B2 (1001-2000),copy,4,copies | copied | copying
1035,B2 (1001-2000),committee,2,committees
1036,B2 (1001-2000),aware,1,
1037,B2 (1001-2000),advice,2,advices
1038,B2 (1001-2000),handle,4,handles | handled | handling
1039,B2 (1001-2000),glass,4,glasses | glassed | glassing
1040,B2 (1001-2000),trial,6,trials | trialed | trialing | trialled | trialling
1041,B2 (1001-2000),stress,3,stresses | stressed
1042,B2 (1001-2000),radio,3,radios | radioed
1043,B2 (1001-2000),administration,2,administrations
1044,B2 (1001-2000),complex,2,complexes
1045,B2 (1001-2000),text,2,texts
1046,B2 (1001-2000),context,2,contexts
1047,B2 (1001-2000),ride,5,rides | rode | riding | ridden
1048,B2 (1001-2000),directly,1,
1049,B2 (1001-2000),heavy,4,heavies | heavier | heaviest
1050,B2 (1001-2000),remove,4,removes | removed | removing
1051,B2 (1001-2000),conduct,4,conducts | conducted | conducting
1052,B2 (1001-2000),equipment,2,equipments
1053,B2 (1001-2000),otherwise,1,
1054,B2 (1001-2000),title,4,titles | titled | titling
1055,B2 (1001-2000),extra,2,extras
1056,B2 (1001-2000),executive,2,executives
1057,B2 (1001-2000),chair,4,chairs | chaired | chairing
1058,B2 (1001-2000),expensive,1,
1059,B2 (1001-2000),sample,5,samples | sampled | sampling | samplings
1060,B2 (1001-2000),sex,2,sexes
1061,B2 (1001-2000),deliver,4,delivers | delivered | delivering
1062,B2 (1001-2000),video,3,videos | videoed
1063,B2 (1001-2000),connection,4,connections | connexion | connexions
1064,B2 (1001-2000),primary,2,primaries
1065,B2 (1001-2000),weather,4,weathers | weathered | weathering
1066,B2 (1001-2000),collect,4,collects | collected | collecting
1067,B2 (1001-2000),inform,4,informs | informed | informing
1068,B2 (1001-2000),principle,3,principles | principled
1069,B2 (1001-2000),straight,3,straighter | straightest
1070,B2 (1001-2000),appeal,4,appeals | appealed | appealing
1071,B2 (1001-2000),highly,1,
1072,B2 (1001-2000),trust,4,trusts | trusted | trusting
1073,B2 (1001-2000),wonderful,1,
1074,B2 (1001-2000),flat,4,flats | flatted | flatting
1075,B2 (1001-2000),absolutely,1,
1076,B2 (1001-2000),flow,4,flows | flowed | flowing
1077,B2 (1001-2000),fair,6,fairs | faired | fairing | fairer | fairest
1078,B2 (1001-2000),additional,1,
1079,B2 (1001-2000),responsible,1,
1080,B2 (1001-2000),farm,4,farms | farmed | farming
1081,B2 (1001-2000),collection,2,collections
1082,B2 (1001-2000),hang,6,hangs | hung | hanging | hanged | hangings
1083,B2 (1001-2000),negative,2,negatives
1084,B2 (1001-2000),band,3,bands | banded
1085,B2 (1001-2000),relative,2,relatives
1086,B2 (1001-2000),tour,4,tours | toured | touring
1087,B2 (1001-2000),alternative,2,alternatives
1088,B2 (1001-2000),software,1,
1089,B2 (1001-2000),pair,5,pairs | paired | pairing | pairings
1090,B2 (1001-2000),ship,4,ships | shipped | shipping
1091,B2 (1001-2000),attitude,2,attitudes
1092,B2 (1001-2000),cheap,3,cheaper | cheapest
1093,B2 (1001-2000),double,4,doubles | doubled | doubling
1094,B2 (1001-2000),leg,5,legs | legged | legging | leggings
1095,B2 (1001-2000),observe,4,observes | observed | observing
1096,B2 (1001-2000),sentence,4,sentences | sentenced | sentencing
1097,B2 (1001-2000),print,5,prints | printed | printing | printings
1098,B2 (1001-2000),progress,4,progresses | progressed | progressing
1099,B2 (1001-2000),truth,2,truths
1100,B2 (1001-2000),nobody,2,nobodies
1101,B2 (1001-2000),examine,4,examines | examined | examining
1102,B2 (1001-2000),lay,4,lays | laid | laying
1103,B2 (1001-2000),speed,5,speeds | sped | speeded | speeding
1104,B2 (1001-2000),politics,1,
1105,B2 (1001-2000),reply,4,replies | replied | replying
1106,B2 (1001-2000),display,4,displays | displayed | displaying
1107,B2 (1001-2000),transfer,5,transfers | transferred | transferring | transfering
1108,B2 (1001-2000),perfect,4,perfects | perfected | perfecting
1109,B2 (1001-2000),slightly,1,
1110,B2 (1001-2000),overall,1,
1111,B2 (1001-2000),intend,4,intends | intended | intending
1112,B2 (1001-2000),user,2,users
1113,B2 (1001-2000),respond,4,responds | responded | responding
1114,B2 (1001-2000),dinner,2,dinners
1115,B2 (1001-2000),slow,6,slows | slowed | slowing | slower | slowest
1116,B2 (1001-2000),regular,2,regulars
1117,B2 (1001-2000),physical,2,physicals
1118,B2 (1001-2000),apart,1,
1119,B2 (1001-2000),suit,4,suits | suited | suiting
1120,B2 (1001-2000),federal,2,federals
1121,B2 (1001-2000),reveal,6,reveals | revealed | revealing | revealled | revealling
1122,B2 (1001-2000),percentage,2,percentages
1123,B2 (1001-2000),peace,2,peaces
1124,B2 (1001-2000),status,1,
1125,B2 (1001-2000),crime,2,crimes
1126,B2 (1001-2000),decline,4,declines | declined | declining
1127,B2 (1001-2000),decade,2,decades
1128,B2 (1001-2000),launch,4,launches | launched | launching
1129,B2 (1001-2000),warn,5,warns | warned | warning | warnings
1130,B2 (1001-2000),consumer,2,consumers
1131,B2 (1001-2000),favor,8,favors | favored | favoring | favour | favours | favoured | favouring
1132,B2 (1001-2000),dry,6,dries | dried | drying | drier | driest
1133,B2 (1001-2000),partner,4,partners | partnered | partnering
1134,B2 (1001-2000),institution,2,institutions
1135,B2 (1001-2000),spot,4,spots | spotted | spotting
1136,B2 (1001-2000),horse,4,horses | horsed | horsing
1137,B2 (1001-2000),eventually,1,
1138,B2 (1001-2000),heat,4,heats | heated | heating
1139,B2 (1001-2000),excite,4,excites | excited | exciting
1140,B2 (1001-2000),reader,2,readers
1141,B2 (1001-2000),importance,1,
1142,B2 (1001-2000),distance,4,distances | distanced | distancing
1143,B2 (1001-2000),guide,4,guides | guided | guiding
1144,B2 (1001-2000),grant,4,grants | granted | granting
1145,B2 (1001-2000),taxi,4,taxis | taxiing | taxies
1146,B2 (1001-2000),feed,5,feeds | fed | feeding | feedings
1147,B2 (1001-2000),pain,4,pains | pained | paining
1148,B2 (1001-2000),sector,2,sectors
1149,B2 (1001-2000),mistake,4,mistakes | mistook | mistaking
1150,B2 (1001-2000),ensure,4,ensures | ensured | ensuring
1151,B2 (1001-2000),satisfy,4,satisfies | satisfied | satisfying
1152,B2 (1001-2000),chief,2,chiefs
1153,B2 (1001-2000),cool,5,cools | cooled | cooling | coolest
1154,B2 (1001-2000),expert,2,experts
1155,B2 (1001-2000),wave,4,waves | waved | waving
1156,B2 (1001-2000),south,1,
1157,B2 (1001-2000),labor,8,labors | labored | laboring | labour | labours | laboured | labouring
1158,B2 (1001-2000),surface,4,surfaces | surfaced | surfacing
1159,B2 (1001-2000),library,2,libraries
1160,B2 (1001-2000),excellent,1,
1161,B2 (1001-2000),edge,4,edges | edged | edging
1162,B2 (1001-2000),camp,4,camps | camped | camping
1163,B2 (1001-2000),audience,2,audiences
1164,B2 (1001-2000),lift,4,lifts | lifted | lifting
1165,B2 (1001-2000),procedure,2,procedures
1166,B2 (1001-2000),email,4,emails | emailed | emailing
1167,B2 (1001-2000),global,1,
1168,B2 (1001-2000),struggle,4,struggles | struggled | struggling
1169,B2 (1001-2000),advertise,8,advertises | advertised | advertising | advertize | advertizes | advertized | advertizing
1170,B2 (1001-2000),select,4,selects | selected | selecting
1171,B2 (1001-2000),surround,5,surrounds | surrounded | surrounding | surroundings
